Дата,Регион,Значение
2020-01-01,Россия,33.76016679
2020-01-01,Адыгея,38.52342935
2020-01-01,Алтай,35.38475586
2020-01-01,Алтайский край,35.56120982
2020-01-01,Амурская область,38.84309698
2020-01-01,Архангельская область,40.5515334
2020-01-01,Астраханская область,42.48933894
2020-01-01,Белгородская область,37.65996045
2020-01-01,Брянская область,46.5726475
2020-01-01,Владимирская область,46.35320922
2020-01-01,Волгоградская область,40.56025974
2020-01-01,Вологодская область,44.27548317
2020-01-01,Воронежская область,39.3957026
2020-01-01,Еврейская автономная область,54.02339003
2020-01-01,Забайкальский край,39.73872901
2020-01-01,Ивановская область,42.03092535
2020-01-01,Иркутская область,41.68243519
2020-01-01,Кабардино-Балкарская Республика,44.13327535
2020-01-01,Калининградская область,39.14277807
2020-01-01,Калужская область,39.87765429
2020-01-01,Камчатский край,54.19471731
2020-01-01,Кемеровская область,48.61967544
2020-01-01,Кировская область,38.67624832
2020-01-01,Костромская область,38.6944881
2020-01-01,Краснодарский край,31.74825023
2020-01-01,Красноярский край,44.31853842
2020-01-01,Курганская область,42.59921709
2020-01-01,Курская область,42.15734343
2020-01-01,Ленинградская область,31.41231344
2020-01-01,Липецкая область,42.40646601
2020-01-01,Магаданская область,75.85206307
2020-01-01,Мордовия,41.48715352
2020-01-01,Москва,22.18655809
2020-01-01,Московская область,29.84561467
2020-01-01,Мурманская область,62.99156415
2020-01-01,Нижегородская область,33.7054943
2020-01-01,Новгородская область,44.15624587
2020-01-01,Новосибирская область,32.31938257
2020-01-01,Омская область,39.32749246
2020-01-01,Оренбургская область,44.55773239
2020-01-01,Орловская область,41.71727794
2020-01-01,Пензенская область,38.05844834
2020-01-01,Пермский край,38.33697871
2020-01-01,Приморский край,32.50917195
2020-01-01,Псковская область,43.13682062
2020-01-01,Республика Башкортостан,36.99802664
2020-01-01,Республика Бурятия,50.7581138
2020-01-01,Республика Дагестан,47.96620607
2020-01-01,Республика Ингушетия,54.25727005
2020-01-01,Республика Калмыкия,52.93180317
2020-01-01,Республика Карачаево-Черкессия,41.09950235
2020-01-01,Республика Карелия,42.42369733
2020-01-01,Республика Коми,47.39632765
2020-01-01,Республика Марий Эл,45.87476977
2020-01-01,Республика Саха (Якутия),41.66290139
2020-01-01,Республика Северная Осетия-Алания,48.83498407
2020-01-01,Республика Татарстан,31.86236756
2020-01-01,Республика Тыва,28.77230598
2020-01-01,Республика Хакасия,45.3370964
2020-01-01,Ростовская область,37.42813281
2020-01-01,Рязанская область,42.83729487
2020-01-01,Самарская область,40.18021405
2020-01-01,Санкт-Петербург,25.40958142
2020-01-01,Саратовская область,46.38591951
2020-01-01,Сахалинская область,35.22010266
2020-01-01,Свердловская область,34.79488588
2020-01-01,Смоленская область,43.90378518
2020-01-01,Ставропольский край,42.1577221
2020-01-01,Тамбовская область,40.78298336
2020-01-01,Тверская область,38.53625292
2020-01-01,Томская область,38.21862416
2020-01-01,Тульская область,40.29912542
2020-01-01,Тюменская область,37.2181564
2020-01-01,Удмуртская Республика,36.77588159
2020-01-01,Ульяновская область,42.51317831
2020-01-01,Хабаровский край,39.93149957
2020-01-01,Челябинская область,45.20364361
2020-01-01,Чеченская Республика,57.61779291
2020-01-01,Чувашская Республика,37.30435176
2020-01-01,Чукотский АО,51.55136135
2020-01-01,Ярославская область,40.9945975
2020-02-01,Россия,34.54493156
2020-02-01,Адыгея,40.32470361
2020-02-01,Алтай,36.24545986
2020-02-01,Алтайский край,36.7366697
2020-02-01,Амурская область,40.69412575
2020-02-01,Архангельская область,41.1711347
2020-02-01,Астраханская область,44.30744827
2020-02-01,Белгородская область,38.34816657
2020-02-01,Брянская область,47.70286118
2020-02-01,Владимирская область,46.25241336
2020-02-01,Волгоградская область,41.27672603
2020-02-01,Вологодская область,45.02503165
2020-02-01,Воронежская область,40.79092858
2020-02-01,Еврейская автономная область,53.63427976
2020-02-01,Забайкальский край,41.354708
2020-02-01,Ивановская область,43.4427704
2020-02-01,Иркутская область,41.94259598
2020-02-01,Кабардино-Балкарская Республика,48.30467308
2020-02-01,Калининградская область,39.07087302
2020-02-01,Калужская область,40.18422879
2020-02-01,Камчатский край,55.4623491
2020-02-01,Кемеровская область,48.36699769
2020-02-01,Кировская область,39.00695937
2020-02-01,Костромская область,38.46495276
2020-02-01,Краснодарский край,32.53236039
2020-02-01,Красноярский край,44.81953468
2020-02-01,Курганская область,44.77888753
2020-02-01,Курская область,43.40970621
2020-02-01,Ленинградская область,31.32185801
2020-02-01,Липецкая область,43.31982181
2020-02-01,Магаданская область,76.72857978
2020-02-01,Мордовия,42.67488397
2020-02-01,Москва,22.09024493
2020-02-01,Московская область,30.26615598
2020-02-01,Мурманская область,63.66971216
2020-02-01,Нижегородская область,33.75159153
2020-02-01,Новгородская область,44.24485754
2020-02-01,Новосибирская область,32.22860439
2020-02-01,Омская область,41.50406092
2020-02-01,Оренбургская область,45.04000322
2020-02-01,Орловская область,41.8961859
2020-02-01,Пензенская область,38.88419978
2020-02-01,Пермский край,38.80975413
2020-02-01,Приморский край,32.94540708
2020-02-01,Псковская область,44.31191156
2020-02-01,Республика Башкортостан,37.57890348
2020-02-01,Республика Бурятия,51.87418986
2020-02-01,Республика Дагестан,48.87293338
2020-02-01,Республика Ингушетия,43.90318855
2020-02-01,Республика Калмыкия,52.52351399
2020-02-01,Республика Карачаево-Черкессия,43.99443497
2020-02-01,Республика Карелия,43.49623731
2020-02-01,Республика Коми,48.22990986
2020-02-01,Республика Марий Эл,44.05717707
2020-02-01,Республика Саха (Якутия),48.74515924
2020-02-01,Республика Северная Осетия-Алания,48.20025108
2020-02-01,Республика Татарстан,31.85188123
2020-02-01,Республика Тыва,28.00290943
2020-02-01,Республика Хакасия,45.28490794
2020-02-01,Ростовская область,37.8591568
2020-02-01,Рязанская область,43.23106199
2020-02-01,Самарская область,41.05686164
2020-02-01,Санкт-Петербург,26.03244706
2020-02-01,Саратовская область,47.56096238
2020-02-01,Сахалинская область,38.05035831
2020-02-01,Свердловская область,36.21096816
2020-02-01,Смоленская область,46.40696053
2020-02-01,Ставропольский край,42.57853249
2020-02-01,Тамбовская область,41.90360307
2020-02-01,Тверская область,39.75352793
2020-02-01,Томская область,39.5797349
2020-02-01,Тульская область,40.35940522
2020-02-01,Тюменская область,38.18908577
2020-02-01,Удмуртская Республика,37.27909217
2020-02-01,Ульяновская область,43.46363621
2020-02-01,Хабаровский край,40.54452072
2020-02-01,Челябинская область,46.84235852
2020-02-01,Чеченская Республика,63.87435239
2020-02-01,Чувашская Республика,39.87287844
2020-02-01,Чукотский АО,52.50573409
2020-02-01,Ярославская область,42.06473618
2020-03-01,Россия,34.19658456
2020-03-01,Адыгея,40.38081341
2020-03-01,Алтай,37.62468439
2020-03-01,Алтайский край,36.69488282
2020-03-01,Амурская область,39.90920224
2020-03-01,Архангельская область,41.13357221
2020-03-01,Астраханская область,44.11804906
2020-03-01,Белгородская область,38.45484621
2020-03-01,Брянская область,49.10419617
2020-03-01,Владимирская область,46.96225001
2020-03-01,Волгоградская область,41.44238112
2020-03-01,Вологодская область,44.87720878
2020-03-01,Воронежская область,40.87196767
2020-03-01,Еврейская автономная область,56.78656424
2020-03-01,Забайкальский край,40.84429652
2020-03-01,Ивановская область,41.77043082
2020-03-01,Иркутская область,41.12950309
2020-03-01,Кабардино-Балкарская Республика,47.36883962
2020-03-01,Калининградская область,38.36436561
2020-03-01,Калужская область,40.26076119
2020-03-01,Камчатский край,52.42518057
2020-03-01,Кемеровская область,49.44605047
2020-03-01,Кировская область,39.72037887
2020-03-01,Костромская область,38.59301373
2020-03-01,Краснодарский край,32.31978723
2020-03-01,Красноярский край,44.19890944
2020-03-01,Курганская область,44.7228522
2020-03-01,Курская область,43.00899018
2020-03-01,Ленинградская область,31.50850233
2020-03-01,Липецкая область,43.54462052
2020-03-01,Магаданская область,75.77800721
2020-03-01,Мордовия,45.20815442
2020-03-01,Москва,21.83270271
2020-03-01,Московская область,30.07335956
2020-03-01,Мурманская область,62.78648219
2020-03-01,Нижегородская область,33.9713505
2020-03-01,Новгородская область,43.95941463
2020-03-01,Новосибирская область,32.72089168
2020-03-01,Омская область,42.35820175
2020-03-01,Оренбургская область,46.47770826
2020-03-01,Орловская область,42.05135032
2020-03-01,Пензенская область,38.63904069
2020-03-01,Пермский край,39.40142612
2020-03-01,Приморский край,32.14539371
2020-03-01,Псковская область,44.26128437
2020-03-01,Республика Башкортостан,37.81336824
2020-03-01,Республика Бурятия,46.2647441
2020-03-01,Республика Дагестан,50.30178012
2020-03-01,Республика Ингушетия,69.9663741
2020-03-01,Республика Калмыкия,53.51577911
2020-03-01,Республика Карачаево-Черкессия,42.72585306
2020-03-01,Республика Карелия,43.93436155
2020-03-01,Республика Коми,48.32306526
2020-03-01,Республика Марий Эл,44.35061877
2020-03-01,Республика Саха (Якутия),45.01770329
2020-03-01,Республика Северная Осетия-Алания,48.54854246
2020-03-01,Республика Татарстан,32.1686402
2020-03-01,Республика Тыва,28.4062139
2020-03-01,Республика Хакасия,47.70843912
2020-03-01,Ростовская область,37.93991342
2020-03-01,Рязанская область,42.94242919
2020-03-01,Самарская область,41.52352133
2020-03-01,Санкт-Петербург,26.09533509
2020-03-01,Саратовская область,47.70266902
2020-03-01,Сахалинская область,34.14733025
2020-03-01,Свердловская область,36.11713651
2020-03-01,Смоленская область,46.1570023
2020-03-01,Ставропольский край,42.54616919
2020-03-01,Тамбовская область,42.14609394
2020-03-01,Тверская область,41.43713556
2020-03-01,Томская область,39.51335997
2020-03-01,Тульская область,40.44624221
2020-03-01,Тюменская область,38.3929086
2020-03-01,Удмуртская Республика,37.24302986
2020-03-01,Ульяновская область,44.12019476
2020-03-01,Хабаровский край,38.9308147
2020-03-01,Челябинская область,46.66265576
2020-03-01,Чеченская Республика,59.26459325
2020-03-01,Чувашская Республика,40.41374461
2020-03-01,Чукотский АО,48.11213155
2020-03-01,Ярославская область,43.26897452
2020-04-01,Россия,35.70696757
2020-04-01,Адыгея,47.11085722
2020-04-01,Алтай,38.36267745
2020-04-01,Алтайский край,37.94305806
2020-04-01,Амурская область,42.51677898
2020-04-01,Архангельская область,42.15264133
2020-04-01,Астраханская область,44.68821322
2020-04-01,Белгородская область,42.54376643
2020-04-01,Брянская область,51.50458921
2020-04-01,Владимирская область,48.40669497
2020-04-01,Волгоградская область,42.97563706
2020-04-01,Вологодская область,45.35996834
2020-04-01,Воронежская область,42.55957704
2020-04-01,Еврейская автономная область,57.82889748
2020-04-01,Забайкальский край,41.5721717
2020-04-01,Ивановская область,44.10602297
2020-04-01,Иркутская область,41.96271426
2020-04-01,Кабардино-Балкарская Республика,46.46320615
2020-04-01,Калининградская область,41.22603539
2020-04-01,Калужская область,42.2409142
2020-04-01,Камчатский край,56.53680949
2020-04-01,Кемеровская область,50.94014359
2020-04-01,Кировская область,41.85442202
2020-04-01,Костромская область,39.44233592
2020-04-01,Краснодарский край,32.74721494
2020-04-01,Красноярский край,45.73471621
2020-04-01,Курганская область,46.81887035
2020-04-01,Курская область,44.18074113
2020-04-01,Ленинградская область,32.22921442
2020-04-01,Липецкая область,45.91929896
2020-04-01,Магаданская область,75.58675817
2020-04-01,Мордовия,46.12973657
2020-04-01,Москва,22.31857115
2020-04-01,Московская область,30.71331019
2020-04-01,Мурманская область,62.89710768
2020-04-01,Нижегородская область,35.59070437
2020-04-01,Новгородская область,45.50384169
2020-04-01,Новосибирская область,33.88053227
2020-04-01,Омская область,43.35691912
2020-04-01,Оренбургская область,47.91746664
2020-04-01,Орловская область,46.58913755
2020-04-01,Пензенская область,41.4897555
2020-04-01,Пермский край,40.66593308
2020-04-01,Приморский край,32.18937611
2020-04-01,Псковская область,47.33328989
2020-04-01,Республика Башкортостан,39.27713975
2020-04-01,Республика Бурятия,44.62728267
2020-04-01,Республика Дагестан,48.44185057
2020-04-01,Республика Ингушетия,66.44879148
2020-04-01,Республика Калмыкия,54.20181205
2020-04-01,Республика Карачаево-Черкессия,41.30412484
2020-04-01,Республика Карелия,46.17258957
2020-04-01,Республика Коми,50.88635502
2020-04-01,Республика Марий Эл,47.05805779
2020-04-01,Республика Саха (Якутия),46.09168306
2020-04-01,Республика Северная Осетия-Алания,50.09001928
2020-04-01,Республика Татарстан,33.76278468
2020-04-01,Республика Тыва,33.64413383
2020-04-01,Республика Хакасия,48.64825619
2020-04-01,Ростовская область,39.31308419
2020-04-01,Рязанская область,45.95588568
2020-04-01,Самарская область,43.26875964
2020-04-01,Санкт-Петербург,26.56517187
2020-04-01,Саратовская область,49.48069936
2020-04-01,Сахалинская область,36.12582354
2020-04-01,Свердловская область,37.06988157
2020-04-01,Смоленская область,49.99212681
2020-04-01,Ставропольский край,43.76887474
2020-04-01,Тамбовская область,42.77152092
2020-04-01,Тверская область,41.39472728
2020-04-01,Томская область,40.43178195
2020-04-01,Тульская область,41.12354595
2020-04-01,Тюменская область,39.20410133
2020-04-01,Удмуртская Республика,40.69192978
2020-04-01,Ульяновская область,46.38126509
2020-04-01,Хабаровский край,39.0534972
2020-04-01,Челябинская область,47.97316719
2020-04-01,Чеченская Республика,63.06300112
