"date"	"title"
"2020-01-01"	"В России изменились правила регистрации новых автомобилей"
"2020-01-01"	"В России ввели электронные трудовые книжки"
"2020-01-01"	"В России подорожают автомобили"
"2020-01-01"	"В российском городе сожгли символ года за 670 тысяч рублей"
"2020-01-01"	"В Москве и Петербурге изменились правила парковки во дворах"
"2020-01-01"	"В России изменили правила содержания животных"
"2020-01-01"	"Пьяные россияне едва не избили Деда Мороза"
"2020-01-01"	"Россиянам разъяснили новые правила регистрации автомобилей"
"2020-01-01"	"Появилось видео сожжения символа года за 670 тысяч рублей во Владивостоке"
"2020-01-01"	"Похитившая семилетнюю девочку в Москве женщина дала показания"
"2020-01-01"	"Путин присвоил звание генерала главе ФССП"
"2020-01-01"	"Россиянин врезался в дерево на снегоходе и погиб"
"2020-01-02"	"Россиян захотели обязать эвакуироваться"
"2020-01-02"	"Российские пожарные потушили огонь в квартире и нашли плантацию конопли"
"2020-01-02"	"Названа особенность новогоднего обращения Путина"
"2020-01-02"	"Россиянин пошел помогать другу и пропал"
"2020-01-02"	"В Крыму отреагировали на факельное шествие бандеровцев в Киеве"
"2020-01-02"	"Двое россиян пострадали из-за взрыва газа в многоэтажном доме"
"2020-01-02"	"В России обстреляли фейерверком жилой дом"
"2020-01-02"	"В Москве грабители вытащили сейф и не смогли его унести"
"2020-01-02"	"Российский подросток насмерть замерз в новогоднюю ночь"
"2020-01-02"	"Вступили в силу поправки в ПДД о проверках на дорогах"
"2020-01-02"	"Россиян предупредили об опасности новогодних блюд"
"2020-01-02"	"Депутат-единоросс расстрелял двух собак"
"2020-01-02"	"Двое россиян прыгнули с парашютами с 24 этажа и попали на видео"
"2020-01-02"	"ГИБДД изменит практическую часть экзамена на права"
"2020-01-02"	"В России ответили на территориальные претензии Эстонии"
"2020-01-02"	"Подорвавшийся на петарде россиянин попал на видео"
"2020-01-02"	"В Москве-реке выловили труп россиянина"
"2020-01-02"	"Более полумиллиона россиян заявили о наличии второго гражданства"
"2020-01-02"	"Россиянам разрешат идти на охоту с луком и стрелами"
"2020-01-02"	"Борющийся с раком российский врач-онколог написал прощальное письмо"
"2020-01-02"	"Назван плюс новых поправок в ПДД о проверках на дорогах"
"2020-01-02"	"Мать похищенной в Москве девочки захотели лишить родительских прав"
"2020-01-02"	"Раскрыты условия жизни похищенной в новогоднюю ночь девочки"
"2020-01-02"	"В Госдуме отреагировали на решение Турции ввести военных в Ливию"
"2020-01-02"	"Россиянин загорелся и упал с крыши дома на прохожую"
"2020-01-02"	"Появилось видео с места гибели загоревшегося в Петербурге мужчины"
"2020-01-03"	"Российских школьников предложили учить использованию пиротехники"
"2020-01-03"	"В российском городе хулиган порезал колеса машинам скорой помощи"
"2020-01-03"	"В России предрекли США возмездие за убийство иранского генерала"
"2020-01-03"	"Названы самые матерящиеся города России"
"2020-01-03"	"В ГИБДД допустили изменение системы оценки экзамена на права"
"2020-01-03"	"В России воспитательница швырнула ребенка на репетиции новогоднего утренника"
"2020-01-03"	"Медведев присудил премии в области СМИ"
"2020-01-03"	"Поездка по городу на такси обошлась россиянину в 649 тысяч рублей"
"2020-01-03"	"Россиянам рассказали о самом жарком годе"
"2020-01-03"	"Путин выразил озабоченность в связи с гибелью иранского генерала Сулеймани"
"2020-01-03"	"Москвичи увидят первый в году звездопад"
"2020-01-03"	"Российский врач избил мать с ребенком на руках"
"2020-01-04"	"Россиянам спрогнозировали аномально теплый январь"
"2020-01-04"	"Кадыров высказался об убийстве Сулеймани"
"2020-01-04"	"В России прокомментировали отказ президента Польши ехать в Израиль из-за Путина"
"2020-01-04"	"В России при пожаре погибли трое взрослых и ребенок"
"2020-01-04"	"Раскрыт способ правильного питания после новогоднего застолья"
"2020-01-04"	"ГИБДД исключит «площадку» из экзамена на права"
"2020-01-04"	"Путин обеспокоился снижением доходов россиян"
"2020-01-04"	"Российский солдат-срочник сбежал из военной части в Забайкалье"
"2020-01-04"	"Раскрыты детали обращения Путина к Федеральному собранию"
"2020-01-04"	"Раскрыты детали обращения Путина к Федеральному собранию"
"2020-01-04"	"Москвичка упала в горящий мангал и обожгла ягодицы"
"2020-01-04"	"Дочь Кадырова открыла «Париж» в центре Грозного и разгневала горожан"
"2020-01-04"	"В центре Петербурга устроили огненное шоу в честь Гитлера"
"2020-01-04"	"Шестилетняя россиянка пожаловалась соседке на педофила"
"2020-01-04"	"В России захотели скорректировать брачный возраст"
"2020-01-04"	"Синоптики предрекли новые погодные аномалии по всей России"
"2020-01-04"	"Стало известно о местонахождении сбежавшего из Забайкалья солдата-срочника"
"2020-01-04"	"Российский депутат прервал новогоднее обращение Путина ради своей речи"
"2020-01-04"	"Прервавший новогоднее обращение Путина российский депутат объяснился"
"2020-01-04"	"Сябитова назвала минусы изменения брачного возраста в России"
"2020-01-05"	"Россияне выразили недовольство общественным транспортом"
"2020-01-05"	"Четырехлетняя россиянка погибла при катании на тюбинге"
"2020-01-05"	"Россиянам назвали размер опасного куска колбасы"
"2020-01-05"	"Пушков предложил США отдать Техас"
"2020-01-05"	"Более 30 автомобилей провалились под лед в российском городе"
"2020-01-05"	"Российский ребенок получил пулевое ранение в Новый год"
"2020-01-05"	"Умер боровшийся с раком российский врач-онколог"
"2020-01-05"	"Названы самые опасные блюда в ресторанах"
"2020-01-05"	"В России оценили инициативу изменить брачный возраст"
"2020-01-05"	"Контактные зоопарки продолжат работу по новым правилам"
"2020-01-05"	"Пушков объяснил свои слова о возвращении Техаса Мексике"
"2020-01-05"	"В 2019 году завершено благоустройство территорий нескольких станции МЦД-2"
