"-","food","nonfood","travel","money","beauty","fun","health","dwelling","outfit","kids","misc","telecom","remote","charity"
"Ковид","538355.382591187","776145.2921997164","629526.0586261584","8084032.041031799","120166.78810923909","683623.9014486546","153365.02812617348","292789.78403170675","1499944.7679463155","51651.36861722177","386970.7869266013","302603.2209277593","40020.345914655365","16427.909931964758"
"Белоруссия","465148.8621544698","791464.0255838152","703362.1704152864","7573672.3465697095","137371.95077990182","778784.2400533741","162255.20001992342","422714.9681662053","1554336.2021996917","36199.51013233597","345057.8520130075","344362.687507594","53114.033201170736","11183.331899720095"
"Украина","551285.0476364561","774819.426846779","675373.2375040926","8223548.862183197","170486.20879906783","702252.7489089051","151440.0768332839","404999.14883634844","1523921.056238805","86552.74858652841","381821.7459660594","317679.76283810806","37616.376600472","17650.367821392225"
"Здоровье","3844789.470345699","1741365.2659782658","1675848.4322081245","28675001.433879893","360550.0719316777","1398530.2035281411","1351446.3274926667","2413044.635651769","1881294.9323539387","221974.86497971832","571347.6797731312","310947.41019397107","43394.99353679937","20296.83775098667"
"Спорт","454932.9939206099","778682.6258068593","538464.1983996347","11823285.928875681","204529.70089986295","1031190.9206802289","308161.8356472367","431178.18192715663","1476563.5138782195","176900.70488989985","355295.24237126857","331018.8019900123","33744.71073868715","15536.31439008465"
"Погода","450888.214031148","778658.9975018777","704121.9662913358","7880309.596951432","66489.86494275191","906746.5971288955","82057.19514774974","352985.84070668306","1522932.0989955212","141897.31656151582","364998.6416312336","270569.20177879743","46038.70774482068","15039.858349889435"
"Религия","431107.37039823335","812280.4979565389","692059.7981954406","7600860.745010557","125036.82558106059","844017.8151265321","172664.29688660125","432753.84068992944","1543659.1816745831","73566.85586134497","352718.99988379533","275609.40223128017","36552.53985374809","18018.534759799328"
"Авиация","523588.0409039438","764147.5006029196","806218.20185615","7857572.515044017","143543.9486386094","707001.2688262494","154727.8783728132","359301.90476870944","1519896.4461442777","99140.40703070308","366680.76087119186","281142.8845346411","37476.63685782035","16220.260761639243"
"Путешествия","532140.3497953973","783131.4806112247","599085.6182392335","7754510.78319061","222480.07185469274","366665.8738717175","162146.08697437795","360592.6025326757","1481359.4208153137","84533.31618461979","423565.21120286244","322057.6044279747","31645.38857391721","17309.528935779654"
"Метро","844545.238988246","698446.6043591987","569334.2661103368","7759785.770642966","183765.09380373245","537697.9469487999","246560.44407903304","446334.81145348214","1484424.5249100567","105048.26006599228","353507.22716168204","345823.6815352301","33848.485571979945","15984.177046373321"
"Телевидение","570682.763423259","778697.4798659489","486710.90442273737","7327612.605014151","49189.35625176969","450846.3017613754","175737.1927342544","428625.47491896455","1774185.022285194","138134.4342975574","537567.2753676618","193523.09616220475","42187.331318399105","16581.959342566828"
"Инвестиции","424581.2742175615","820721.9052586027","693156.0448939512","7902959.777107449","138129.52575019342","741222.6565311321","203485.39188076957","313827.9872866335","1546248.6738740343","99013.05446433047","331573.9090491608","317903.38122625096","37698.63675065659","16018.816097397124"
"Правительство","543202.3647340322","781551.4595027305","603970.8824425661","7621920.294391721","130025.08055085443","769004.4654699322","195570.53327317684","360050.5746800955","1525205.004060085","87460.35414664866","348362.56844514946","313650.67806713714","46902.76865286417","15937.023961817666"
"Индекс доступности недвижимости, СПБ","578366.6689217908","824349.7815703703","653106.1466258696","7261635.1108876","161518.70141306205","602460.3143463517","212082.3050064069","472664.7954061298","1428036.7355714475","161921.04537380708","347992.328565433","287797.9228402385","39886.94348489306","20065.994171740098"
"Индекс доступности недвижимости, Россия","515455.7444179266","826078.8717284559","514583.7221859616","7736529.8744369475","222371.29087189233","543961.1200329367","92341.24562542743","481003.175442948","1629078.5888591604","90978.73264940694","329576.67972456204","269855.64661807514","38168.25083162838","20560.22646996708"
"Ключевая ставка ЦБ","509432.59141968755","784409.5245294436","615099.5167384986","8315004.460639031","170153.87739110037","619947.435500662","214183.53078088182","379958.9379996463","1523760.9597374916","57121.73424077611","525242.4623852461","307230.8013587669","38250.575367356396","16797.204450816986"
"Инфляция в процентах годовых","390762.0438263844","805710.2086701925","898482.7323194251","7044555.641068706","49548.55170340276","1237838.102156368","149348.6395571804","364876.9169140247","1656150.8080554968","77283.32251848858","364546.59313609457","218163.46269667926","37021.06868544436","17549.411728782394"
"Курс доллара, руб","526303.9541390159","769635.196253134","595526.7702973278","7982288.920542141","124984.47859384255","691619.7877554907","185127.3706175234","483457.6334214067","1497630.25630201","51521.84065525482","345630.4167722882","314762.06574533513","43150.34708433626","16117.812131003255"
